SK_LOCAL,NM_MUNICIPIO,NM_LOCAL_VOTACAO,LATITUDE,LONGITUDE,CONFIANCA,QUERY_USADA,FONTE,DATA_GEOCODIFICACAO
1181,FLORIANO,POLIVALENTE,-6.773555,-43.0453031,endereco,"RUA ANTONINO FREIRE 464, FLORIANO, Piauí, Brasil",nominatim_osm,2026-08-02
1276,FRANCISCO AYRES,POSTO DE SAUDE TERESINHA L. NUNES,-6.620915,-42.6963384,localidade,"CENTRO, FRANCISCO AYRES, Piauí, Brasil",nominatim_osm,2026-08-02
1358,GILBUÉS,ESCOLA MUNICIPAL DIVINO ESPIRITO SANTO,-9.825871,-45.4917026,localidade,"MARMELADA, GILBUÉS, Piauí, Brasil",nominatim_osm,2026-08-02
1435,IPIRANGA DO PIAUÍ,ESCOLA MUNICIPAL 15 DE NOVEMBRO,-6.8240832,-41.7377279,municipio,"IPIRANGA DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
1432,IPIRANGA DO PIAUÍ,ESCOLA MUNICIPAL JOAQUIM MARINHO,-6.8234153,-41.8904547,localidade,"COCOS, IPIRANGA DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
419,JACOBINA DO PIAUÍ,UNIDADE ESCOLAR BENEVIDES DE MORAIS,-7.9356495,-41.2106817,municipio,"JACOBINA DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
1543,JOAQUIM PIRES,U E FILOMENO FERREIRA DE SOUSA,-3.5083129,-42.1925425,municipio,"JOAQUIM PIRES, Piauí, Brasil",nominatim_osm,2026-08-02
3448,JOCA MARQUES,UNIDADE ESCOLAR JOAO JOAQUIM,-3.5948925,-42.4743718,localidade,"CHAPADA DO PINTO, JOCA MARQUES, Piauí, Brasil",nominatim_osm,2026-08-02
541,LAGOA DO BARRO DO PIAUÍ,UNIDADE ESCOLAR DA MANGUINHA,-8.4798938,-41.5295775,municipio,"LAGOA DO BARRO DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
540,LAGOA DO BARRO DO PIAUÍ,UNIDADE ESCOLAR ELPIDIO MARQUES DA SILVA,-8.5196272,-41.5170136,localidade,"CERCADO VELHO, LAGOA DO BARRO DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
539,LAGOA DO BARRO DO PIAUÍ,UNIDADE ESCOLAR MANOEL JOSE DA COSTA,-8.4403843,-41.6457965,localidade,"SANTA LUZ, LAGOA DO BARRO DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
1601,LANDRI SALES,COLEGIO MUNICIPAL JOSE DA SILVA PIMENTEL,-7.4764505,-44.0330667,localidade,"VEREDAS I, LANDRI SALES, Piauí, Brasil",nominatim_osm,2026-08-02
1645,LUIS CORREIA,SINDICATO DOS TRABALHADORES RURAIS - BREJINHO DE FÁTIMA,-2.8818164,-41.6658458,municipio,"LUIS CORREIA, Piauí, Brasil",nominatim_osm,2026-08-02
1627,LUIS CORREIA,UNIDADE ESCOLAR PROFESSOR JOSE ELIAS,-2.9081105,-41.4584112,localidade,"MACAPA, LUIS CORREIA, Piauí, Brasil",nominatim_osm,2026-08-02
1635,LUIS CORREIA,UNIDADE ESCOLAR VICENTE SANTANA,-2.974018,-41.619261,localidade,"JABUTI, LUIS CORREIA, Piauí, Brasil",nominatim_osm,2026-08-02
1656,LUZILÂNDIA,CENTRO COMUNITARIO,-3.4648887,-42.3689528,municipio,"LUZILÂNDIA, Piauí, Brasil",nominatim_osm,2026-08-02
1658,LUZILÂNDIA,CENTRO OPERARIO,-3.4648887,-42.3689528,municipio,"LUZILÂNDIA, Piauí, Brasil",nominatim_osm,2026-08-02
1659,LUZILÂNDIA,UNIDADE ESCOLAR FRANCISCO CARVALHO,-3.487315,-42.3667354,endereco,"AV. DOMINGOS MARQUES S/N, LUZILÂNDIA, Piauí, Brasil",nominatim_osm,2026-08-02
1677,LUZILÂNDIA,UNIDADE ESCOLAR JOSÉ DE SOUSA,-3.4648887,-42.3689528,municipio,"LUZILÂNDIA, Piauí, Brasil",nominatim_osm,2026-08-02
3492,MADEIRO,UNIDADE ESCOLAR RAIMUNDO CARVALHO,-3.4834038,-42.4994625,municipio,"MADEIRO, Piauí, Brasil",nominatim_osm,2026-08-02
554,MARCOLÂNDIA,UNIDADE ESCOLAR JEREMIAS JOSE RODRIGUES,-7.3958338,-40.7320691,localidade,"MORADA NOVA, MARCOLÂNDIA, Piauí, Brasil",nominatim_osm,2026-08-02
557,MARCOLÂNDIA,UNIDADE ESCOLAR MANOEL FRANCISCO MARQUES,-7.4404183,-40.6650972,municipio,"MARCOLÂNDIA, Piauí, Brasil",nominatim_osm,2026-08-02
555,MARCOLÂNDIA,UNIDADE ESCOLAR VO DILA,-7.388684,-40.7606936,localidade,"ALDEIA, MARCOLÂNDIA, Piauí, Brasil",nominatim_osm,2026-08-02
1805,MONTE ALEGRE DO PIAUÍ,GRUPO ESCOLAR DE RIACHO VELHO,-9.7483373,-45.3048117,municipio,"MONTE ALEGRE DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
1449,NOVA SANTA RITA,ESCOLA MUNICIPAL DAS BARROCAS,-8.1729909,-41.9091219,localidade,"BARROCAS, NOVA SANTA RITA, Piauí, Brasil",nominatim_osm,2026-08-02
1450,NOVA SANTA RITA,UNIDADE ESCOLAR ANTONIO MIGUEL DE ARAUJO,-8.0739703,-42.0504725,municipio,"NOVA SANTA RITA, Piauí, Brasil",nominatim_osm,2026-08-02
1853,OEIRAS,COLETORIA FEDERAL,-7.0166587,-42.1286875,endereco,"RUA MIGUEL OLIVEIRA S/N, OEIRAS, Piauí, Brasil",nominatim_osm,2026-08-02
1908,OEIRAS,ESCOLA MUNICIPAL JOAQUIM FERREIRA,-7.2076001,-42.0360683,localidade,"CASA NOVA, OEIRAS, Piauí, Brasil",nominatim_osm,2026-08-02
1873,OEIRAS,GRUPO ESCOLAR DIRCEU ARCOVERDE,-7.0408452,-42.3837312,localidade,"BREJINHO - EXU, OEIRAS, Piauí, Brasil",nominatim_osm,2026-08-02
1858,OEIRAS,IAPEP,-7.0185234,-42.1271072,endereco,"RUA ANDRE HOLANDA S/N, OEIRAS, Piauí, Brasil",nominatim_osm,2026-08-02
1923,OEIRAS,PENITENCIARIA REGIONAL DE OEIRAS,-7.0136883,-42.1226418,endereco,"RUA COMADRE ANA , S/N, OEIRAS, Piauí, Brasil",nominatim_osm,2026-08-02
1860,OEIRAS,UNIAO ARTISTICA OPERARIA OEIRENSE,-7.0139543,-42.1313838,endereco,"PRACA MAFRENSE S/N, OEIRAS, Piauí, Brasil",nominatim_osm,2026-08-02
3314,PAJEÚ DO PIAUÍ,UNIDADE ESCOLAR ELPIDIO CRONEMBERGER,-7.855242,-42.8220764,municipio,"PAJEÚ DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
1415,PAQUETÁ,UNIDADE ESCOLAR SALUSTIANO BORGES LEAL,-7.045665,-41.6776025,localidade,"PORTELANDIA, PAQUETÁ, Piauí, Brasil",nominatim_osm,2026-08-02
3708,PAU D'ARCO DO PIAUÍ,UNIDADE ESCOLAR MARIA SARAIVA BARBOSA,-5.2131462,-42.3924255,localidade,"CASTELETE, PAU D'ARCO DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
3553,PEDRO LAURENTINO,UNIDADE ESCOLAR RUFINO ROZENDO DE SA,-8.0660549,-42.2874621,municipio,"PEDRO LAURENTINO, Piauí, Brasil",nominatim_osm,2026-08-02
2191,PICOS,CENTRO DE CONVIVENCIA DO BAIRRO PEDRINHAS,-7.0615653,-41.4536417,endereco,"RUA PROJETADA, S/N, PICOS, Piauí, Brasil",nominatim_osm,2026-08-02
2192,PICOS,POSTO DE SAUDE DA ALTAMIRA,-7.0580878,-41.5223668,localidade,"ALTAMIRA, PICOS, Piauí, Brasil",nominatim_osm,2026-08-02
2198,PICOS,UNIDADE ESCOLAR MIGUEL LIDIANO,-7.0823544,-41.4685053,municipio,"PICOS, Piauí, Brasil",nominatim_osm,2026-08-02
2177,PICOS,UNIDADE ESCOLAR MUNICIPAL MANOEL SERAFIM RODRIGUES DE CARVALHO,-7.1099947,-41.4969553,localidade,"TAPERA, PICOS, Piauí, Brasil",nominatim_osm,2026-08-02
2268,PIRACURUCA,UNIDADE ESCOLAR ANÍSIO BRITO,-3.9311062,-41.7199159,endereco,"RUA TENENTE RUI BRITO, 1100, PIRACURUCA, Piauí, Brasil",nominatim_osm,2026-08-02
2393,REDENÇÃO DO GURGUÉIA,CENTRO SOCIAL,-9.4888613,-44.5815723,endereco,"RUA MARECHAL RONDON, REDENÇÃO DO GURGUÉIA, Piauí, Brasil",nominatim_osm,2026-08-02
2391,REDENÇÃO DO GURGUÉIA,UNIDADE ESCOLAR DIRCEU ARCO VERDE,-9.4862001,-44.5840178,municipio,"REDENÇÃO DO GURGUÉIA, Piauí, Brasil",nominatim_osm,2026-08-02
2431,RIBEIRO GONÇALVES,ESCOLA MUNICIPAL PRIMEIRO DE MAIO,-8.2065175,-45.4512113,localidade,"PARIS, RIBEIRO GONÇALVES, Piauí, Brasil",nominatim_osm,2026-08-02
2432,RIBEIRO GONÇALVES,ESCOLA MUNICIPAL SANTA CRUZ II,-8.4239331,-45.6001507,localidade,"VACA MORTA, RIBEIRO GONÇALVES, Piauí, Brasil",nominatim_osm,2026-08-02
2794,SIMPLÍCIO MENDES,CRECHE SAGRADO CORAÇÃO DE JESUS,-7.8606235,-41.909733,endereco,"RUA MATIAS GOMES N 522, SIMPLÍCIO MENDES, Piauí, Brasil",nominatim_osm,2026-08-02
2759,SIMÕES,ESCOLA MUNICIPAL ERICO VERISSIMO II,-7.5531212,-40.7170051,localidade,"SERRA DOS CLAUDIOS, SIMÕES, Piauí, Brasil",nominatim_osm,2026-08-02
2813,SOCORRO DO PIAUÍ,UNIDADE ESCOLAR PEQUENO PRÍNCIPE,-7.8631876,-42.4994689,municipio,"SOCORRO DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
794,SÃO BRAZ DO PIAUÍ,U.E. FRANKLIN JOSÉ DA SILVA,-9.0535563,-42.9426167,localidade,"TANQUE VELHO, SÃO BRAZ DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
2595,SÃO JOSÉ DO PIAUÍ,UNIDADE ESCOLAR MUNICIPAL JOSÉ EVARISTO,-6.8725567,-41.4772864,municipio,"SÃO JOSÉ DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
2737,SÃO RAIMUNDO NONATO,CASA DE DETENÇÃO PROVISÓRIA DOM INOCÊNCIO LOPEZ SANTAMARIA,-9.0149761,-42.6888427,municipio,"SÃO RAIMUNDO NONATO, Piauí, Brasil",nominatim_osm,2026-08-02
2704,SÃO RAIMUNDO NONATO,COLEGIO GERCILIO MACEDO,-9.0179603,-42.6934121,endereco,"AV. JOAO DIAS S/N, SÃO RAIMUNDO NONATO, Piauí, Brasil",nominatim_osm,2026-08-02
2872,TERESINA,AEROPORTO DE TERESINA,-5.061006,-42.820755,endereco,"AV CENTENÁRIO, S/N, TERESINA, Piauí, Brasil",nominatim_osm,2026-08-02
2943,TERESINA,CENTRO ESPORTIVO UNIFICADO ANA MARIA REGO - CEU,-5.1872161,-42.7433426,endereco,"RUA MIGUEL ADAD S/N, TERESINA, Piauí, Brasil",nominatim_osm,2026-08-02
3029,TERESINA,CENTRO SOCIAL URBANO,-5.0874608,-42.8049571,municipio,"TERESINA, Piauí, Brasil",nominatim_osm,2026-08-02
3085,TERESINA,COLÉGIO SAGRADO CORAÇÃO DE JESUS - COLÉGIO DAS IRMÃS,-5.085119,-42.7998285,endereco,"AV. FREI SERAFIM, 1793, TERESINA, Piauí, Brasil",nominatim_osm,2026-08-02
2912,TERESINA,EMGERPI - ANTIGA CIDAPI,-5.0353781,-42.8243051,endereco,"RUA ALTOS S/N, TERESINA, Piauí, Brasil",nominatim_osm,2026-08-02
2914,TERESINA,"EMGERPI, POR TRÁS DA EMGERPI PRINCIPAL",-5.0575973,-42.8139433,endereco,"RUA ALTO LONGA S/N, TERESINA, Piauí, Brasil",nominatim_osm,2026-08-02
2929,TERESINA,PENITENCIÁRIA FEMININA,-5.2443945,-42.7350872,endereco,"BR 316, KM-07, TERESINA, Piauí, Brasil",nominatim_osm,2026-08-02
2880,TERESINA,UNIDADE ESCOLAR DUQUE DE CAXIAS,-5.1134637,-42.7931048,endereco,"AV. BARAO DE CASTELO BRANCO S/N, TERESINA, Piauí, Brasil",nominatim_osm,2026-08-02
2879,TERESINA,UNIDADE ESCOLAR DUQUE DE CAXIAS,-5.0968212,-42.7891528,endereco,"AV. BARÃO DE CASTELO BRANCO, 1370., TERESINA, Piauí, Brasil",nominatim_osm,2026-08-02
2899,TERESINA,UNIDADE ESCOLAR MATIAS OLIMPIO,-5.0772612,-42.805502,endereco,"AV. JACOB ALMENDRA, 498, TERESINA, Piauí, Brasil",nominatim_osm,2026-08-02
3292,VALENÇA DO PIAUÍ,UNIDADE ESCOLAR CARMINA VELOSO,-6.4080598,-41.7403608,endereco,"RUA CICERO PORTELA 726, VALENÇA DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
